MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-229.00186,115.79291,-29.160479,45.768616,16.80768,-17.427084,-34.005363,-37.872955,-8.492665,-38.4028,-8.878491,-15.986782,-12.902693
-242.05792,102.97742,-6.122271,39.800343,11.251583,-13.847695,-38.948994,-12.736291,-18.59178,-31.362593,-9.525797,-21.720497,-9.457279
-146.98123,94.89676,-26.103668,52.89013,-6.9074006,-14.611225,-41.387604,-12.98835,-18.9659,-32.919243,-2.5465918,-17.809666,-2.5659027
-113.54862,83.53108,-48.033653,58.50734,-13.93714,-16.438883,-33.487167,-14.844239,-9.793104,-38.428474,11.211872,-21.5277,3.041862
-141.07774,56.72706,-59.483654,63.038322,-17.01547,-21.795101,-28.234325,-15.5912485,0.35800302,-40.118538,21.829988,-22.151787,9.327244
-196.9831,34.182076,-47.2954,61.52648,-12.668339,-16.514093,-20.512684,-12.409207,5.5088115,-33.509335,18.06871,-21.833439,2.6308484
-218.22641,41.775032,-45.447803,53.82745,-4.7236843,-12.637583,-32.0606,-19.209576,2.890221,-33.910446,9.47464,-28.332926,-0.48465133
-197.97371,59.296097,-37.85312,32.514233,-0.43325737,-4.1773224,-34.051846,-13.49865,-6.810957,-26.655441,-7.851695,-26.390305,-2.81627
-191.23169,51.69905,-10.345784,15.850137,6.4431386,3.308208,-25.69561,-7.535721,-9.409956,-16.28852,-17.91557,-19.777267,-1.4913456
-224.83319,28.30568,7.6074524,18.435575,9.195591,11.545376,-16.352823,-4.4058905,-4.839465,-10.2482605,-19.010815,-12.597467,2.0348175
-267.06992,53.65641,23.313267,22.872143,11.108747,9.986198,-18.620735,-10.590855,-14.471239,-7.8096023,-15.423969,-14.988441,-1.4266535
-294.9678,101.78381,11.375039,28.90179,14.484142,-9.63569,-30.521717,-13.522034,-18.55118,-9.59542,3.263278,-28.858368,-4.860696
-174.48375,103.87605,-31.619041,51.742523,-16.405834,-17.526413,-38.90659,-18.500996,-8.366716,-22.58611,-4.744652,-22.267345,1.0797378
-101.41922,93.27173,-55.32955,54.417587,-34.787033,-21.677402,-31.183458,-10.63233,-4.5282216,-25.898758,1.9927047,-19.812359,0.4191362
-80.719086,94.3217,-79.15702,40.459618,-51.16137,-24.92102,-20.88499,-5.0347004,10.721351,-22.955656,11.708103,-22.986874,6.795136
-81.96109,101.352615,-97.09602,22.862568,-50.461327,-20.940762,-24.876959,-10.695513,24.234747,-11.965719,15.701773,-24.015507,19.499498
-101.70619,116.43329,-91.12035,8.259083,-45.142624,-0.16587856,-23.917389,-20.857304,22.934229,5.8481483,14.487799,-22.064863,20.123657
-149.06348,130.02383,-65.69318,-2.8054936,-51.089874,20.618534,-16.130444,-35.77926,8.157782,10.1961975,15.365967,-11.209766,16.492525
-203.5379,145.16206,-25.184826,-2.3144767,-49.12716,30.133232,-4.3154745,-42.463493,-12.062611,-6.304776,11.956976,1.7702045,13.76333
