MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-138.24644,85.91225,-42.928215,63.27341,-9.73266,-17.400867,-37.988495,-21.879065,-18.526703,-51.64867,6.2501783,-26.585453,7.185982
-135.6432,67.90617,-57.755997,66.88937,-17.085842,-16.01703,-29.129065,-15.456362,-12.683722,-47.09522,16.93309,-21.47387,10.84655
-155.48703,52.53457,-60.654606,74.59517,-16.767962,-19.03078,-23.733265,-10.310313,-5.048891,-39.75817,23.274021,-22.408085,4.1371946
-191.88748,43.756405,-47.744545,74.96179,-15.274593,-17.141678,-22.483082,-10.353661,-1.9743748,-38.54486,24.16042,-24.012718,-4.1981287
-229.29694,36.38471,-39.355072,72.56637,-7.7184386,-13.422476,-23.731228,-10.1055,-2.4645982,-41.58298,19.659222,-23.19904,-7.079034
-249.24458,37.649654,-37.443596,66.97774,-3.6996822,-15.846341,-24.46636,-11.309565,-2.8431616,-41.45565,12.420768,-20.860832,-5.2214155
-236.36554,56.660057,-33.942608,49.13405,-1.5237429,-12.94282,-27.442013,-6.033488,-8.210487,-32.14437,-3.1703653,-20.297523,-7.6324606
-227.047,46.674408,-10.561979,32.84369,5.4777756,-13.31838,-21.29614,-6.0300694,-11.706842,-23.703938,-17.449318,-14.530243,-7.1446605
-249.25636,10.463155,3.7682586,45.452843,-2.0707111,-6.3670015,-7.0005827,-3.9128776,-2.5838766,-11.892073,-15.594398,-4.9997597,-5.1823955
-316.6566,-17.904602,-9.341585,57.728645,-0.13520569,6.267916,10.77834,5.981676,8.959742,5.568792,-1.1945604,5.402993,-0.9113009
-216.17136,-55.43633,29.7758,17.48131,-29.580112,21.553185,-9.135946,-1.8655332,-2.6416342,9.773139,17.39795,3.0806801,0.44070292
-128.09589,-72.80749,25.590979,11.071711,-38.688847,10.106959,-11.411348,0.34451973,-11.2044735,3.3142092,9.453266,-2.4951777,1.9716494
-91.20857,-38.62686,43.658234,30.88613,-25.626373,5.038021,-16.961315,-7.63715,-25.217415,-8.687447,-2.9196594,-11.339157,-1.4958237
-101.60154,11.560127,33.56723,50.464733,-14.442669,-12.874649,-20.43296,-7.5161676,-34.245575,-14.044739,-2.2279575,-11.0630455,1.5496428
-126.67923,55.366623,-2.901566,77.9743,-33.983784,-18.89988,-20.82488,-5.424958,-37.712746,-17.4166,5.0241065,-15.995581,8.73675
-172.29335,74.14247,-11.791779,87.489334,-39.438835,-12.08847,-19.624657,-3.036585,-38.06824,-18.087362,12.052247,-26.596024,15.043032
-169.69391,40.040802,-8.2162895,43.825912,-23.881208,0.74901044,-6.51181,-15.725435,-27.136269,-0.18033719,-6.664748,-14.88758,9.581749
-132.59497,27.593372,0.18862683,39.120693,-23.409344,5.4745283,-2.5880194,-14.1040535,-26.829533,1.0526191,-10.878446,-11.214441,7.336602
-126.79816,56.676582,11.541682,53.438084,-20.47593,-12.401237,-13.811209,-7.84207,-35.4213,-7.075164,-5.6756,-14.123206,2.3013592
-135.15051,83.51944,-18.655333,62.78148,-21.5803,-20.78751,-28.828186,-1.4693701,-36.03134,-18.820942,7.4057283,-25.276527,9.671585
-185.6695,96.62183,-22.974072,73.084915,-15.470358,-17.636806,-24.533455,-1.7304231,-23.658161,-26.398144,12.857922,-30.66647,9.029725
-262.73825,118.269844,0.843387,58.190712,6.268239,-23.88477,-20.8549,-5.1675973,-17.184977,-13.596073,13.719141,-29.507532,5.5215583
-303.09744,135.05072,13.385256,43.06156,19.202038,-19.058369,-15.965937,-12.889479,-23.834295,6.3787775,15.619714,-28.139513,1.5470703
-240.67477,124.22403,-3.4212096,28.67596,15.454056,15.560665,-17.274094,-17.281557,-18.066746,-5.8057246,-0.10441458,-6.7552958,-11.561256
-181.71997,136.65092,-33.919144,5.7090797,14.504072,19.0686,-35.655045,-26.698837,-11.281535,-7.95665,3.5224419,-3.0823553,-5.9230804
-160.89635,157.30347,-80.45978,-1.4220045,9.773207,11.803428,-59.40614,-25.509735,15.58779,-21.568705,19.563766,-6.9227695,4.485239
-119.247025,136.69919,-111.867615,7.1410613,-16.34097,-0.51977915,-61.16691,-12.993883,19.196968,-15.739716,27.370054,-7.454321,9.084702
-102.28012,112.56734,-116.952965,23.983582,-35.94491,-4.888475,-46.76925,3.6890554,22.341667,-9.792944,23.40038,-16.00141,13.512239
-101.044205,97.10214,-106.65245,30.457201,-39.154453,-2.1592665,-24.409994,11.251678,24.957478,-7.40459,16.710339,-25.337576,17.221806
-110.97752,97.13736,-92.33679,24.996334,-35.641434,-1.8151824,-14.141922,8.006673,17.612246,-13.05839,8.538214,-26.689651,23.167315
-131.11385,95.41375,-67.75455,6.272291,-21.846964,-5.895701,-6.433421,7.844796,8.920687,-8.801073,0.49693644,-20.6804,20.712658
-164.89902,78.568184,-26.303581,-2.4189248,-8.64196,-5.8897514,4.7502103,13.959545,-0.89559287,3.5691679,-11.365845,-10.451456,11.428789
-188.78859,35.459114,11.87174,-4.4030547,-1.850424,-8.30208,17.748873,11.7977295,-2.617073,3.2106552,-9.822281,0.7081953,5.3241315
-229.33548,-4.058804,26.686363,-8.705637,-0.4574664,-5.954145,18.136787,9.572949,-0.5430539,2.6089761,1.3507303,9.017664,6.102032
-279.37015,-29.72477,27.410019,-8.74288,3.2234044,-5.053075,21.68761,14.130911,1.7546724,-2.217761,8.248147,25.122904,7.7472744
-313.53317,-59.423027,21.075531,-13.252213,6.415312,-9.290697,16.00068,12.685846,12.083693,6.844203,15.976807,33.63684,12.753237
-352.12878,-98.8195,35.460712,-7.6198635,19.7711,-5.204506,18.517788,1.3910615,5.309599,12.548317,29.977922,33.05322,-0.2385847
-377.21704,-77.072266,58.877007,-3.6719203,25.83741,2.9631553,18.902409,-11.759615,-10.963858,7.040925,25.646984,21.010529,-10.01072
-272.85175,-34.599056,52.463707,1.8214364,1.6136401,0.78313935,-15.431772,10.65416,-18.890116,4.1632967,-4.062687,17.408474,2.5903497
-237.37767,-39.657272,50.642883,4.7074885,-6.3974576,-2.240142,-15.219938,13.276314,-19.557133,6.5050173,-8.501301,13.978092,4.641727
-292.04224,-30.4977,38.268078,8.222432,-13.228174,-7.1498957,-10.171919,21.857754,-17.514685,8.334351,-9.458631,12.849227,12.07089
-386.374,41.42186,6.155287,16.868393,-7.58243,-5.798955,2.3412986,25.10991,-12.968672,3.9412217,-6.0400534,5.2466516,13.600629
-452.49826,69.86124,9.839656,14.273537,10.580608,-1.5317346,15.821127,22.347881,6.973316,-1.1912502,-1.3788016,5.8493843,9.540939
-501.2401,43.949585,27.212708,20.082247,18.835045,16.514765,15.899154,15.798016,9.654034,1.9229112,3.2851458,9.54558,8.068094
-520.6603,26.12439,25.086761,23.440086,21.300379,18.814991,16.149515,13.473595,10.946983,8.707252,6.8601456,5.4732857,4.5735283
-520.0284,26.952564,25.736523,23.847492,21.468435,18.81348,16.096441,13.502741,11.169725,9.178379,7.5563335,6.29017,5.342395
-517.8493,29.796625,27.911045,25.041307,21.544788,17.829144,14.283285,11.216339,8.81631,7.135438,6.103133,5.5614295,5.3132324
